metric_category,metric_name,current_status,evidence_note,acceptance_eligible_now
predictive,directional_accuracy,computed_proxy,phase11_signal_diagnostics.directional_accuracy_nonzero,False
predictive,balanced_accuracy,missing,Requires class-confusion counts by direction.,False
predictive,precision_recall_by_direction,missing,Requires true/false positives by long/short direction.,False
predictive,roc_auc,missing,Requires probabilistic scores or ranked continuous predictions.,False
predictive,brier_score,missing,Requires calibrated probability forecasts.,False
predictive,calibration_curve,missing,Requires probability bins and realized frequencies.,False
predictive,information_coefficient,proxy_available,Proxy signed_mean_future_return is available; rank IC is not computed yet.,False
predictive,future_return_by_signal_decile,missing,Requires continuous signal scores and decile bucketing.,False
predictive,incremental_r2,missing,Requires model-vs-baseline regression outputs.,False
predictive,feature_importance_stability,missing,Requires multi-seed/model feature importance runs.,False
trading,gross_pnl,computed_proxy,phase12_execution_summary.total gross proxy can be inferred from mean_gross_return * trades.,False
trading,net_pnl,computed_proxy,phase12_execution_summary.total_net_pnl_units.,False
trading,return_on_allocated_capital,proxy_available,Phase 12 order-lifecycle proxy carries submitted/filled notional; accepted capital allocation is still missing.,False
trading,sharpe,sample_proxy,"Computed from Phase 12 sampled trade ledger, not full daily equity curves.",False
trading,sortino,sample_proxy,"Computed from Phase 12 sampled trade ledger, not full daily equity curves.",False
trading,maximum_drawdown,sample_proxy,"Computed on sampled trade sequence, not accepted daily equity curve.",False
trading,calmar_ratio,sample_proxy,Drawdown proxy exists in Phase 12 order-lifecycle sample; accepted annualized return horizon is still missing.,False
trading,profit_factor,sample_proxy,Computed from sampled trade ledger.,False
trading,win_rate,computed_proxy,phase12_execution_summary.win_rate_net.,False
trading,average_win_loss,sample_proxy,Computed from sampled trade ledger.,False
trading,expectancy_per_trade,computed_proxy,phase12_execution_summary.mean_net_return.,False
trading,turnover,proxy_available,Trade count is available; capital-normalized turnover is not.,False
trading,cost_to_gross_profit_ratio,sample_proxy,Computed from sampled trade ledger.,False
trading,fill_ratio,sample_proxy,Phase 12 order-lifecycle proxy provides submitted and filled quantities over the sampled trade ledger.,False
trading,adverse_selection,missing,Requires post-fill markout windows.,False
trading,mae_mfe,missing,Requires intra-holding path after entry.,False
trading,exposure_holding_time,sample_proxy,Phase 12 order-lifecycle proxy provides running position exposure; holding-time lifecycle remains approximate.,False
