symbol,rows,usable_short_horizon_rows,s03_liquidity_vacuum_proxy_rows,s03_reversal_candidate_proxy_rows,s04_trade_flow_depth_confirm_rows,s06_absorption_like_proxy_rows,s08_lead_lag_bucket_rows,medium_confidence_rows,low_confidence_rows,stale_gap_gt_5s_rows,acceptance_grade
ADANIPORTS,13886,12865,1625,214,670,893,4127,0,0,1018,False
AXISBANK,18309,17464,1103,122,1131,1938,4183,0,0,840,False
BAJAJ-AUTO,25141,24588,3359,682,1521,1281,4261,0,0,549,False
BANKBEES,18916,18166,59,24,300,696,4002,0,0,750,False
BHARTIARTL,19560,18768,1573,196,1155,1910,4300,0,0,788,False
BPCL,10684,9438,74,14,354,920,3988,0,0,1243,False
BRITANNIA,8526,7060,465,43,229,470,3606,0,0,1463,False
CIPLA,11664,10529,810,74,464,839,4024,0,0,1131,False
DRREDDY,12257,11185,1317,63,532,677,4124,0,0,1065,False
GOLDBEES,12982,11937,6,1,385,1494,4078,0,0,1042,False
HCLTECH,29266,28773,4012,635,2588,4140,4343,0,0,487,False
HDFCBANK,35959,35740,1109,206,2890,7405,4447,0,0,212,False
HINDUNILVR,12173,11066,1226,123,532,597,4041,0,0,1102,False
ICICIBANK,26474,25939,1803,268,1927,3451,4334,0,0,531,False
INFY,34511,34247,4316,758,3240,5436,4449,0,0,257,False
ITBEES,11481,10336,0,0,376,1488,4006,0,0,1143,False
ITC,12379,11311,24,6,671,2247,4097,0,0,1063,False
JUNIORBEES,17442,16539,203,70,436,1175,4005,0,0,902,False
KOTAKBANK,14091,13095,119,17,745,1986,4104,0,0,993,False
LT,19466,18694,2669,389,1349,1347,4222,0,0,767,False
M&M,25699,25185,3608,831,1769,1765,4329,0,0,511,False
MARUTI,27645,27273,3272,562,1623,2035,4406,0,0,369,False
NESTLEIND,12918,11777,799,90,507,705,3946,0,0,1137,False
NIFTYBEES,22414,21763,5,0,866,2859,4214,0,0,649,False
ONGC,17305,16439,73,15,1014,2881,4204,0,0,863,False
RELIANCE,26056,25435,1210,196,1843,4220,4287,0,0,615,False
SBIN,24728,24111,1318,200,1757,3745,4285,0,0,611,False
SUNPHARMA,14610,13566,1336,161,833,1176,4074,0,0,1040,False
TCS,36467,36271,6565,1195,3531,4029,4474,0,0,190,False
TECHM,19124,18292,2580,360,1315,1786,4139,0,0,828,False
ULTRACEMCO,8386,6958,773,78,251,339,3723,0,0,1426,False
WIPRO,20334,19550,38,9,1677,5314,4166,0,0,781,False
