metric,value,description
phase416_deep_book_divergence_snapback_interpretation_complete,1,Phase416 interpretation completed
phase416_selected_verdict,P416_DEEP_BOOK_DIVERGENCE_SNAPBACK_REJECTED_NON_SPARSE_NEGATIVE,Selected verdict
phase416_phase415_primary_completed_round_trips,238,Primary round trips
phase416_phase415_primary_positive_date_fraction,0.0,Primary positive date fraction
phase416_phase415_primary_net_pnl_inr,-83261.78122609416,Primary net P&L
phase416_phase415_primary_annualized_return_pct,-419.6393773795146,Primary annualized return
phase416_cost200_acceptance_survivor_rows,0,Acceptance survivors
phase416_same_family_tuning_allowed,0,No same-family tuning
phase416_strategy_promotion_allowed,0,No promotion
phase416_paper_or_live_acceptance_allowed,0,No paper/live
phase416_deployable_profitability_claim_allowed,0,No deployable claim
phase416_hard_gate_pass_rows,8,Passed hard gates
phase416_hard_gate_rows,8,Hard gates
phase416_next_best_action,stop_deep_book_divergence_snapback_route_or_precommit_material_new_non_directional_full_depth_source,Recommended next action
